establecimiento,producto,marca,presentacion,gramaje,precio,aroma,frentes,nivel_de_percha,promoción,tipo_medida
comercial garcez,cloro,clorox,botella,1gl,3.99,original,3.0,arriba,,volumen
comercial garcez,cloro,estrella,botella,500ml,0.6,original,7.0,2,,volumen
comercial garcez,cloro,estrella,botella,1l,0.89,original,6.0,ojos,poder 4 en 1,volumen
comercial garcez,cloro,estrella,botella,1gl,2.75,original,2.0,ojos,,volumen
comercial garcez,desinfectante,olimpia,botella,240ml,0.45,vainilla y avellana,2.0,1,,volumen
comercial garcez,desinfectante,olimpia,botella,240ml,0.45,eucalipto,2.0,1,,volumen
comercial garcez,desinfectante,olimpia,botella,240ml,0.45,lavanda,2.0,1,,volumen
comercial garcez,desinfectante,olimpia,botella,240ml,0.45,manzana canela,2.0,1,,volumen
comercial garcez,desinfectante,olimpia,botella,240ml,0.45,manzana verde,2.0,1,,volumen
comercial garcez,desinfectante,olimpia,botella,240ml,0.45,bosque de pinos,2.0,1,,volumen
comercial garcez,desinfectante,olimpia,botella,450ml,0.79,vainilla y avellana,1.0,2,,volumen
comercial garcez,desinfectante,olimpia,botella,450ml,0.79,eucalipto,1.0,2,,volumen
comercial garcez,desinfectante,olimpia,botella,450ml,0.79,lavanda,1.0,2,,volumen
comercial garcez,desinfectante,olimpia,botella,450ml,0.79,manzana canela,2.0,2,,volumen
comercial garcez,desinfectante,olimpia,botella,450ml,0.79,flor de naranja,1.0,2,,volumen
comercial garcez,desinfectante,olimpia,botella,450ml,0.79,bosque de pinos,2.0,2,,volumen
comercial garcez,desinfectante,olimpia,botella,450ml,0.79,mascotas,2.0,2,,volumen
comercial garcez,desinfectante,olimpia,botella,450ml,0.79,vainilla y avellana,1.0,ojos,,volumen
comercial garcez,desinfectante,olimpia,botella,450ml,0.79,eucalipto,1.0,ojos,,volumen
comercial garcez,desinfectante,olimpia,botella,450ml,0.79,lavanda,2.0,ojos,,volumen
comercial garcez,desinfectante,olimpia,botella,450ml,0.79,manzana canela,1.0,ojos,,volumen
comercial garcez,desinfectante,olimpia,botella,450ml,0.79,flor de naranja,2.0,ojos,,volumen
comercial garcez,desinfectante,olimpia,botella,450ml,0.79,bosque de pinos,1.0,ojos,,volumen
comercial garcez,desinfectante,olimpia,botella,450ml,0.79,mascotas,1.0,ojos,,volumen
comercial garcez,desinfectante,olimpia,botella,900ml,1.95,eucalipto,1.0,3,,volumen
comercial garcez,desinfectante,olimpia,botella,900ml,1.95,lavanda,1.0,3,,volumen
comercial garcez,desinfectante,olimpia,botella,900ml,1.95,manzana canela,1.0,3,,volumen
comercial garcez,desinfectante,olimpia,botella,900ml,1.95,flor de manzana,1.0,3,,volumen
comercial garcez,desinfectante,olimpia,botella,900ml,2.05,flor de naranja,1.0,3,,volumen
comercial garcez,desinfectante,olimpia,botella,900ml,2.05,bosque de pinos,1.0,3,antiviral,volumen
comercial garcez,desinfectante,olimpia,botella,900ml,1.95,mascotas,1.0,3,,volumen
comercial garcez,desinfectante,gol,doypack,300ml,0.32,lavanda,1.0,1,,volumen
comercial garcez,desinfectante,gol,doypack,300ml,0.32,eucalipto,1.0,1,,volumen
comercial garcez,desinfectante,gol,doypack,300ml,0.32,lavanda,1.0,2,,volumen
comercial garcez,desinfectante,gol,doypack,300ml,0.32,eucalipto,2.0,2,,volumen
comercial garcez,desinfectante,gol,doypack,550ml,0.79,lavanda,8.0,2,oferta a 0.65ctv,volumen
comercial garcez,desinfectante,gol,doypack,550ml,0.79,lavanda,9.0,1,,volumen
comercial garcez,desinfectante,sani,botella,1l,1.35,eucalipto,2.0,ojos,,volumen
comercial garcez,desinfectante,sani,botella,1l,1.35,eucalipto,2.0,3,,volumen
comercial garcez,desinfectante,elis,botella,5lt,4.49,canela,2.0,arriba,,volumen
comercial garcez,desinfectante,elis,botella,5lt,4.49,lavanda,1.0,arriba,,volumen
comercial garcez,desinfectante,elis,botella,5lt,4.49,eucalipto,2.0,arriba,,volumen
comercial garcez,desinfectante,sani,botella,1gl,3.95,manzana canela,1.0,3,,volumen
comercial garcez,desinfectante,sani,botella,1gl,3.95,lavanda,2.0,3,,volumen
comercial garcez,desinfectante,sani,botella,1gl,3.95,eucalipto,1.0,3,,volumen
comercial garcez,desinfectante,sani,botella,1gl,3.95,brisa marina,3.0,3,,volumen
comercial garcez,desinfectante,fabuloso,botella,2lt,4.35,floral,3.0,ojos,,volumen
comercial garcez,desinfectante,tips,botella,500ml,0.79,eucalipto,2.0,2,,volumen
comercial garcez,desinfectante,tips,botella,500ml,0.79,manzana verde,2.0,2,,volumen
comercial garcez,desinfectante,tips,botella,500ml,0.79,manzana canela,2.0,2,,volumen
comercial garcez,desinfectante,tips,botella,500ml,0.79,frutilla,2.0,2,,volumen
comercial garcez,desinfectante,tips,botella,500ml,0.79,citronela,2.0,2,,volumen
comercial garcez,desinfectante,tips,botella,500ml,0.79,floral,0.0,2,,volumen
comercial garcez,tenedor,chiquitene,paquete,,0.59,blanco,1.0,2,,desconocido
comercial garcez,cucharas,oxp,paquete,,0.25,blanco,4.0,ojos,,desconocido
comercial garcez,tenedor,displas,paquete,,0.55,blanco,5.0,3,,desconocido
comercial garcez,cucharas,oxp,paquete,,0.55,blanco,4.0,3,,desconocido
titan,detergente líquido,ciclon,doypack,1300ml,4.89,floral,3.0,arriba,3.82 a partir de 3 unidades,volumen
titan,detergente líquido,gama,botella,1000ml,1.99,floral,3.0,arriba,,volumen
titan,detergente líquido,rossy klean,caneca,20lt,24.29,limon,2.0,1,,volumen
titan,cloro,fast,botella,1gl,2.99,original,1.0,3,,volumen
titan,cloro,fast,botella,1gl,3.32,limon,1.0,3,,volumen
titan,cloro,gama,botella,1l,0.59,original,1.0,3,,volumen
titan,cloro,la original,botella,3785ml,2.85,limon,1.0,2,,volumen
titan,cloro,tips,botella,3800ml,4.04,original,1.0,2,2.99 26% de descto,volumen
titan,cloro,,botella,4lt,3.19,original,1.0,2,,volumen
titan,cloro,,botella,2lt,1.89,original,1.0,2,,volumen
titan,cloro,la original,botella,3785ml,1.9,original,2.0,2,,volumen
titan,cloro,zakka,sachet,6*150ml,0.81,original,4.0,1,,multipack
titan,cloro,la original,botella,2lt,1.08,original,1.0,2,,volumen
titan,cloro,la original,botella,1l,0.54,original,3.0,2,,volumen
titan,cloro,la original,sachet,270ml,0.25,original,4.0,ojos,,volumen
titan,cloro,la original,botella,500ml,0.49,original,4.0,ojos,,volumen
titan,cloro,clorox,caneca,21000g,17.57,original,1.0,1,,peso
titan,cloro,clorox,caneca,20lt,11.36,original,1.0,1,,volumen
titan,cloro,clorox,sachet,160g,0.17,original,2.0,1,,peso
titan,cloro,clorox,sachet,475g,0.74,original,3.0,ojos,,peso
titan,cloro,clorox,botella,1040g,1.51,original,3.0,2,,peso
titan,cloro,clorox,botella,1040g,1.58,limon,3.0,3,,peso
titan,desinfectante,fabuloso,botella,1l,2.31,floral,6.0,2,,volumen
titan,desinfectante,fabuloso,botella,1l,2.31,lavanda,3.0,2,,volumen
titan,desinfectante,rossy klean,caneca,20lt,16.93,eucalipto,1.0,1,,volumen
titan,desinfectante,rossy klean,caneca,20lt,17.13,floral,1.0,1,,volumen
titan,desinfectante,fabuloso,botella,5lt,7.98,lavanda,5.0,1,,volumen
titan,desinfectante,fabuloso,botella,3lt,6.13,lavanda,5.0,2,,volumen
titan,desinfectante,fabuloso,botella,500ml,1.19,naranja,8.0,ojos,,volumen
titan,desinfectante,olimpia,botella,240ml,0.44,manzana canela,8.0,3,,volumen
titan,desinfectante,ajax,botella,5lt,5.3,naranja limon,1.0,1,,volumen
titan,desinfectante,tips,botella,3785ml,7.04,frutilla,2.0,1,,volumen
titan,desinfectante,tips,botella,3785ml,7.04,manzana verde,2.0,1,,volumen
titan,desinfectante,tips,botella,240ml,0.45,lavanda,8.0,2,,volumen
titan,desinfectante,tips,botella,240ml,0.45,manzana canela,8.0,ojos,,volumen
titan,desinfectante,tips,botella,240ml,0.45,brisa marina,4.0,3,,volumen
titan,desinfectante,olimpia,botella,450ml,0.9,eucalipto,3.0,ojos,,volumen
titan,desinfectante,olimpia,botella,900ml,2.02,eucalipto,2.0,ojos,,volumen
titan,desinfectante,happy,botella,1l,1.9,manzana con toques de fresia,2.0,3,,volumen
titan,desinfectante,olimpia,botella,240ml,0.44,lavanda,8.0,3,,volumen
titan,desinfectante,la original,botella,1l,0.83,lavanda,3.0,1,,volumen
titan,desinfectante,la original,botella,1l,0.83,citronela,3.0,1,,volumen
titan,desinfectante,kalipto,botella,1l,2.36,eucalipto,2.0,2,,volumen
titan,desinfectante,kalipto,botella,250ml,0.47,manzana verde,4.0,ojos,,volumen
titan,desinfectante,kalipto,botella,250ml,0.47,naranja limon,4.0,ojos,,volumen
titan,desinfectante,kalipto,botella,250ml,0.47,lavanda floral,4.0,ojos,,volumen
titan,desinfectante,kalipto,botella,250ml,0.47,eucalipto,4.0,ojos,,volumen
titan,desinfectante,kalipto,botella,2lt,4.03,eucalipto,2.0,ojos,,volumen
titan,desinfectante,kalipto,botella,3785ml,8.06,lavanda,1.0,2,6.45 con el 20% de descuento,volumen
titan,desinfectante,kalipto,botella,3785ml,8.06,eucalipto,1.0,2,,volumen
titan,desinfectante,livy,botella,1l,0.86,lavanda,3.0,3,,volumen
titan,desinfectante,livy,botella,1l,0.86,eucalipto,2.0,3,,volumen
titan,jabon liquido,la original,botella,3800ml,6.08,frutos rojos,3.0,1,,volumen
titan,jabon liquido,la original,botella,3800ml,6.08,avena,2.0,1,,volumen
titan,jabon liquido,la original,botella,3800ml,6.08,almendra,2.0,1,,volumen
titan,jabon liquido,la original,botella,3800ml,6.08,frutos rojos,4.0,2,,volumen
titan,jabon liquido,la original,botella,3800ml,6.08,avena,1.0,2,,volumen
titan,jabon liquido,la original,botella,3800ml,6.08,almendra,2.0,2,,volumen
titan,jabon liquido,la original,doypack,1900ml,3.85,frutos rojos,4.0,ojos,,volumen
titan,jabon liquido,la original,doypack,1l,3.0,frutos rojos,3.0,3,,volumen
titan,jabon liquido,la original,doypack,1l,3.0,almendra,2.0,3,,volumen
titan,jabon liquido,la original,doypack,500ml,2.08,frutos rojos,2.0,arriba,,volumen
titan,jabon liquido,la original,doypack,500ml,2.08,almendra,3.0,arriba,,volumen
titan,jabon liquido,family,botella,3785ml,6.4,manzanilla,1.0,ojos,,volumen
titan,jabon liquido,dr clean,botella,1l,2.54,almendra,1.0,3,,volumen
titan,jabon liquido,dr clean,botella,1l,2.54,durazno,1.0,3,,volumen
titan,jabon liquido,clans,botella,500ml,1.79,frutos rojos,2.0,3,,volumen
titan,jabon liquido,clans,botella,500ml,1.79,frutos rojos,1.0,ojos,,volumen
titan,jabon liquido,simpli,doypack,500ml,1.99,berry sweet,2.0,arriba,,volumen
titan,jabon liquido,isabella,doypack,650ml,1.55,fresas y granadas,2.0,arriba,,volumen
titan,jabon liquido,gamma,botella,250ml,2.7,coco,2.0,arriba,,volumen
titan,jabon liquido,gamma,botella,500ml,1.27,coco vainilla,1.0,arriba,,volumen
titan,jabon liquido,gamma,botella,500ml,1.27,tea flowers,1.0,arriba,,volumen
titan,jabon liquido,studio nunan,doypack,1l,3.86,mazana blosoom,1.0,arriba,,volumen
titan,jabon liquido,jolly,botella,500ml,2.62,almendra,2.0,arriba,,volumen
titan,jabon liquido,jolly,doypack,1l,3.8,floral,1.0,arriba,,volumen
titan,cuchara mediana,prakti,paquete,,0.91,negra,2.0,ojos,,desconocido
titan,cuchara grande,prakti,paquete,,0.93,negra,2.0,ojos,,desconocido
titan,tenedor,la original,paquete,,0.59,blanco,2.0,ojos,,desconocido
titan,tenedor,la original,paquete,,1.24,blanco,2.0,ojos,,desconocido
coral,detergente líquido,kalipto,botella,5lt,14.94,con toque suavizante,1.0,ojos,11.20 descuento del 25%,volumen
coral,detergente líquido,kalipto,botella,5lt,14.94,con bicarbonato,4.0,ojos,isla,volumen
coral,detergente líquido,kalipto,botella,5lt,14.94,con bicarbonato,5.0,2,,volumen
coral,detergente líquido,kalipto,botella,5lt,14.94,con bicarbonato,2.0,3,,volumen
coral,detergente líquido,coral,botella,5lt,9.51,floral,6.0,3,6.21 descuento del 35%,volumen
coral,detergente líquido,coral,botella,5lt,9.51,floral,6.0,ojos,isla,volumen
coral,detergente líquido,coral,botella,5lt,9.51,floral,6.0,2,,volumen
coral,detergente líquido,coral,botella,5lt,9.51,floral,6.0,1,,volumen
coral,cloro,sanson,botella,4lt,5.04,original,7.0,3,3.28 descuento del 35%,volumen
coral,cloro,sanson,botella,4lt,5.04,original,7.0,ojos,3.28 descuento del 35%,volumen
coral,cloro,sanson,botella,4lt,5.04,original,7.0,2,3.28 descuento del 35%,volumen
coral,cloro,sanson,botella,4lt,5.04,original,7.0,1,3.28 descuento del 35%,volumen
coral,cloro,sanson,botella,1l,1.4,original,2.0,ojos,,volumen
coral,cloro,sanson,botella,1l,1.4,original,2.0,3,,volumen
coral,cloro,sanson,botella,1l,1.4,original,2.0,arriba,,volumen
coral,cloro,sanson,botella,500ml,0.7,original,2.0,2,,volumen
coral,cloro,estrella,botella,500ml,0.67,original,4.0,2,,volumen
coral,cloro,estrella,botella,1l,1.01,original,4.0,ojos,,volumen
coral,cloro,estrella,botella,1l,1.01,original,4.0,3,,volumen
coral,cloro,estrella,botella,1l,1.01,original,4.0,arriba,,volumen
coral,cloro,ozz,botella,3785ml,3.49,original,2.0,ojos,,volumen
coral,cloro,el macho,botella,1l,1.36,original,1.0,ojos,,volumen
coral,cloro,el macho,botella,1l,1.36,original,1.0,3,,volumen
coral,cloro,el macho,botella,1l,1.36,original,1.0,arriba,,volumen
coral,cloro,tips,botella,2lt,1.97,original,2.0,ojos,1.69 con el 14% de descuento,volumen
coral,cloro,tips,botella,2lt,1.97,original,2.0,3,,volumen
coral,cloro,tips,botella,2lt,1.97,limon,2.0,ojos,,volumen
coral,cloro,tips,botella,2lt,1.97,limon,2.0,3,,volumen
coral,cloro,tips,botella,1l,1.04,original,4.0,arriba,,volumen
coral,cloro,tips,botella,1l,1.04,limon,2.0,arriba,,volumen
coral,cloro,tips,botella,3800ml,3.49,original,2.0,ojos,3 con el 14% de descuento,volumen
coral,cloro,coral,botella,2lt,2.46,original,8.0,ojos,1.60 con el 35% de descuento,volumen
coral,cloro,coral,botella,2lt,2.46,original,8.0,2,1.60 con el 35% de descuento,volumen
coral,cloro,coral,botella,1l,1.26,original,8.0,3,0.82 con el 35% de descuento,volumen
coral,cloro,coral,botella,1l,1.26,original,8.0,arriba,0.82 con el 35% de descuento,volumen
coral,cloro,clorox,botella,1040g,1.6,floral,2.0,arriba,,peso
coral,cloro,clorox,botella,1040g,1.6,floral,2.0,3,,peso
coral,cloro,clorox,botella,1040g,1.53,original,4.0,arriba,,peso
coral,cloro,clorox,botella,1040g,1.53,original,4.0,3,,peso
coral,cloro,clorox,botella,2lt,5.82,original,2.0,ojos,,volumen
coral,cloro,clorox,botella,3800ml,4.87,original,2.0,2,,volumen
coral,cloro,clorox,botella,500ml,0.88,original,2.0,1,,volumen
coral,cloro,clorox,botella,500ml,0.88,limon,2.0,1,,volumen
coral,desinfectante,lysol,doypack,1l,2.37,lavanda,3.0,1,,volumen
coral,desinfectante,lava,botella,950ml,3.39,flor de manzana,4.0,1,,volumen
coral,desinfectante,coral,botella,3785ml,7.61,manzana verde,5.0,1,,volumen
coral,desinfectante,coral,botella,2lt,3.39,lavanda,8.0,2,2.37 con descuento del 30%,volumen
coral,desinfectante,coral,botella,2lt,3.39,eucalipto,8.0,2,2.37 con descuento del 30%,volumen
coral,desinfectante,coral,botella,2lt,3.39,lavanda,8.0,ojos,2.37 con descuento del 30%,volumen
coral,desinfectante,coral,botella,2lt,3.39,eucalipto,8.0,ojos,2.37 con descuento del 30%,volumen
coral,desinfectante,coral,botella,1l,1.7,lavanda,9.0,3,1.19 con descuento del 30%,volumen
coral,desinfectante,coral,botella,1l,1.7,eucalipto,8.0,3,1.10 con descuento del 35%,volumen
coral,desinfectante,master,botella,1l,1.82,canela,1.0,2,con esponja mixta,volumen
coral,desinfectante,master,botella,1l,1.82,baby dreams,1.0,2,con esponja mixta,volumen
coral,desinfectante,master,botella,1l,1.82,lavanda,1.0,ojos,1.46 con descuento del 20%,volumen
coral,desinfectante,master,botella,1l,1.82,manzana con toques de fresia,1.0,ojos,,volumen
coral,desinfectante,master,botella,2100ml,3.55,lavanda con toques de orquidea,1.0,2,2.84 con descuento del 20%,volumen
coral,desinfectante,master,botella,1l,1.82,lavanda con toques de orquidea,1.0,3,1.46 con descuento del 20%,volumen
coral,desinfectante,master,botella,1l,1.82,limon,1.0,arriba,1.46 con descuento del 20%,volumen
coral,desinfectante,ozz,botella,1gl,5.12,eucalipto,2.0,1,,volumen
coral,desinfectante,ozz,botella,1l,1.68,eucalipto,2.0,2,,volumen
coral,desinfectante,ozz,botella,1l,1.68,floral,2.0,ojos,,volumen
coral,desinfectante,el secreto de la abuela,botella,1l,2.01,eucalipto,1.0,2,1.71 con descuento del 15%,volumen
coral,desinfectante,el secreto de la abuela,botella,1l,2.01,manzanilla coco,1.0,ojos,1.71 con descuento del 15%,volumen
coral,desinfectante,el secreto de la abuela,botella,1l,2.01,lavanda,1.0,3,1.71 con descuento del 15%,volumen
coral,desinfectante,el secreto de la abuela,botella,500ml,1.29,lavanda,1.0,arriba,,volumen
coral,desinfectante,estrella,botella,900ml,2.0,eucalipto,1.0,2,,volumen
coral,desinfectante,estrella,botella,900ml,2.0,floral,1.0,ojos,,volumen
coral,desinfectante,estrella,botella,900ml,1.0,lavanda,1.0,3,,volumen
coral,desinfectante,kalipto,botella,2lt,4.26,limon + verbena,1.0,2,,volumen
coral,desinfectante,kalipto,doypack,500ml,1.17,manzana verde,4.0,arriba,,volumen
coral,desinfectante,kalipto,botella,1l,2.31,manzana verde,1.0,3,,volumen
coral,desinfectante,kalipto,botella,1l,2.3,limon + verbena,1.0,3,2.02 con descuento del 12%,volumen
coral,desinfectante,kalipto,botella,1l,2.31,eucalipto,1.0,3,,volumen
coral,desinfectante,kalipto,botella,1l,2.23,pasion frutal,1.0,3,,volumen
coral,desinfectante,kalipto,botella,1l,2.3,frescura marina,1.0,3,1.95 con descuento del 15%,volumen
coral,desinfectante,kalipto,botella,1l,2.16,naranja,2.0,3,,volumen
coral,desinfectante,kalipto,botella,1l,2.31,manzana verde,1.0,ojos,,volumen
coral,desinfectante,kalipto,botella,1l,2.3,limon + verbena,1.0,ojos,,volumen
coral,desinfectante,kalipto,botella,1l,2.31,eucalipto,1.0,ojos,,volumen
coral,desinfectante,kalipto,botella,1l,2.23,pasion frutal,1.0,ojos,,volumen
coral,desinfectante,kalipto,botella,1l,2.3,frescura marina,1.0,ojos,,volumen
coral,desinfectante,kalipto,botella,1l,2.16,naranja,2.0,ojos,,volumen
coral,desinfectante,kalipto,botella,2lt,4.26,eucalipto,2.0,2,,volumen
coral,desinfectante,kalipto,botella,2lt,4.26,frescura marina,1.0,2,,volumen
coral,desinfectante,kalipto,botella,2lt,4.26,manzana verde,1.0,2,,volumen
coral,desinfectante,kalipto,botella,2lt,4.2,naranja+ limon,1.0,2,,volumen
coral,desinfectante,kalipto,botella,1gl,8.06,manzana verde,1.0,1,6.45 con el 20% de descuento,volumen
coral,desinfectante,kalipto,botella,1gl,8.06,limon + verbena,2.0,1,,volumen
coral,desinfectante,kalipto,botella,1gl,8.06,frescura marina,1.0,1,,volumen
coral,desinfectante,kalipto,botella,1gl,8.06,naranja+limon,1.0,1,6.60 con el 15% de descuento,volumen
coral,desinfectante,kalipto,botella,1gl,8.06,lavanda,2.0,1,6.45 con el 20% de descuento,volumen
coral,desinfectante,kalipto,botella,2lt,4.2,naranja limon,1.0,2,,volumen
coral,desinfectante,kalipto,botella,2lt,4.26,lavanda,1.0,2,,volumen
coral,desinfectante,kalipto,botella,2lt,4.24,vainilla,3.0,2,3.60 con descuento 15%,volumen
coral,desinfectante,kalipto,doypack,900ml,1.96,eucalipto,5.0,arriba,,volumen
coral,desinfectante,sanson,botella,1l,2.0,manzana canela,1.0,3,,volumen
coral,desinfectante,sanson,botella,1l,2.0,eucalipto,1.0,3,,volumen
coral,desinfectante,sanson,botella,500ml,0.89,manzana canela,2.0,arriba,,volumen
coral,desinfectante,estrella,botella,500ml,1.22,lavanda,1.0,arriba,,volumen
coral,desinfectante,estrella,botella,500ml,1.22,fresa,1.0,arriba,,volumen
coral,desinfectante,estrella,botella,500ml,1.22,eucalipto,1.0,arriba,,volumen
coral,desinfectante,fabuloso,botella,3lt,6.13,floral,3.0,1,4.72 con el 23% de descuento,volumen
coral,desinfectante,fabuloso,botella,5lt,9.87,lavanda,2.0,1,,volumen
coral,desinfectante,fabuloso,botella,2lt,4.47,naranja,2.0,2,,volumen
coral,desinfectante,fabuloso,botella,2lt,4.47,fresca primavera,1.0,2,,volumen
coral,desinfectante,fabuloso,botella,500ml,1.18,floral,3.0,arriba,,volumen
coral,desinfectante,fabuloso,botella,500ml,1.18,naranja,1.0,arriba,,volumen
coral,desinfectante,fabuloso,botella,2lt,4.3,lavanda,2.0,2,,volumen
coral,desinfectante,fabuloso,botella,2lt,4.3,naranja,2.0,2,,volumen
coral,desinfectante,fabuloso,botella,1l,2.31,lavanda,2.0,ojos,,volumen
coral,desinfectante,fabuloso,botella,1l,2.31,floral,2.0,ojos,,volumen
coral,desinfectante,fabuloso,botella,1l,2.31,naranja,1.0,ojos,,volumen
coral,desinfectante,fabuloso,botella,1l,2.31,aroma bebe,1.0,ojos,1.59 con el 31% de descuento,volumen
coral,desinfectante,fabuloso,botella,1l,2.31,lavanda,2.0,3,,volumen
coral,desinfectante,fabuloso,botella,1l,2.31,floral,2.0,3,,volumen
coral,desinfectante,fabuloso,botella,1l,2.31,naranja,1.0,3,,volumen
coral,desinfectante,fabuloso,botella,1l,2.31,aroma bebe,1.0,3,,volumen
coral,desinfectante,fabuloso,botella,500ml,1.18,lavanda,3.0,arriba,,volumen
coral,desinfectante,fabuloso,botella,500ml,1.18,naranja,3.0,arriba,,volumen
coral,desinfectante,ajax,botella,2lt,4.63,limon,1.0,2,,volumen
coral,desinfectante,ajax,botella,1l,2.54,naranja limon,1.0,ojos,,volumen
coral,desinfectante,ajax,botella,1l,2.54,naranja limon,1.0,3,,volumen
coral,desinfectante,olimpia,botella,1gl,7.85,manzana canela,2.0,1,,volumen
coral,desinfectante,olimpia,botella,1gl,7.85,eucalipto,1.0,1,,volumen
coral,desinfectante,olimpia,botella,2lt,3.64,lavanda,1.0,2,3.20 con el 12% de descuento,volumen
coral,desinfectante,olimpia,botella,2lt,3.64,eucalipto,3.0,2,,volumen
coral,desinfectante,olimpia,botella,2lt,3.91,vainilla,1.0,2,3.44 con el 12 % de descuento,volumen
coral,desinfectante,olimpia,botella,1l,2.27,manzana canela,2.0,ojos,1.82 con el 20% de descuento,volumen
coral,desinfectante,olimpia,botella,1l,2.27,eucalipto,2.0,ojos,,volumen
coral,desinfectante,olimpia,botella,1l,2.27,vainilla,1.0,ojos,,volumen
coral,desinfectante,olimpia,botella,1l,2.44,vainilla,2.0,3,2.07 con el 15% de descuento,volumen
coral,desinfectante,olimpia,botella,1l,2.82,frescura herbal,3.0,arriba,2.40con el 15% de descuento,volumen
coral,desinfectante,olimpia,botella,500ml,0.89,manzana canela,4.0,arriba,,volumen
coral,desinfectante,olimpia,botella,1l,2.27,lavanda,2.0,3,1.93 con el 15% de descuento,volumen
coral,desinfectante,olimpia,botella,1l,2.27,bosque de pino,2.0,3,,volumen
coral,desinfectante,tips,botella,3785ml,6.95,citronela,1.0,1,5.15 con el 24% de descuento,volumen
coral,desinfectante,tips,botella,3785ml,6.95,frutilla,1.0,1,5.15 con el 24% de descuento,volumen
coral,desinfectante,tips,botella,3785ml,6.95,lavanda,1.0,1,5.15 con el 24% de descuento,volumen
coral,desinfectante,tips,botella,3785ml,6.95,manzana verde,1.0,1,5.15 con el 24% de descuento,volumen
coral,desinfectante,tips,botella,3785ml,6.95,eucalipto,1.0,1,5.15 con el 24% de descuento,volumen
coral,desinfectante,tips,botella,2lt,4.06,citronela,1.0,2,2.84 con el 30% de descuento,volumen
coral,desinfectante,tips,botella,2lt,4.06,manzana verde,1.0,2,2.84 con el 30% de descuento,volumen
coral,desinfectante,tips,botella,2lt,4.06,brisa marina,1.0,2,2.84 con el 30% de descuento,volumen
coral,desinfectante,tips,botella,2lt,4.06,manzana canela,1.0,2,2.84 con el 30% de descuento,volumen
coral,desinfectante,tips,botella,2lt,4.06,lavanda,1.0,2,2.84 con el 30% de descuento,volumen
coral,desinfectante,tips,botella,2lt,4.06,frutilla,1.0,2,2.84 con el 30% de descuento,volumen
coral,desinfectante,tips,botella,2lt,4.06,manzana verde,3.0,ojos,2.84 con el 30% de descuento,volumen
coral,desinfectante,tips,botella,2lt,4.06,brisa marina,2.0,ojos,2.84 con el 30% de descuento,volumen
coral,desinfectante,tips,botella,2lt,4.06,manzana canela,2.0,ojos,2.84 con el 30% de descuento,volumen
coral,desinfectante,tips,botella,1l,2.2,frutilla,1.0,3,1.80 con el 18% de descuento,volumen
coral,desinfectante,tips,botella,1l,2.2,eucalipto,1.0,3,1.80 con el 18% de descuento,volumen
coral,desinfectante,tips,botella,1l,2.2,citronela,2.0,3,1.80 con el 18% de descuento,volumen
coral,desinfectante,tips,botella,1l,2.2,lavanda,2.0,3,1.80 con el 18% de descuento,volumen
coral,desinfectante,tips,botella,1l,2.2,floral,2.0,3,1.80 con el 18% de descuento,volumen
coral,desinfectante,tips,botella,500ml,1.08,frutilla,2.0,arriba,,volumen
coral,desinfectante,tips,botella,500ml,1.08,eucalipto,1.0,arriba,,volumen
coral,desinfectante,tips,botella,500ml,1.08,manzana canela,1.0,arriba,,volumen
coral,desinfectante,tips,botella,500ml,1.08,lavanda,1.0,arriba,,volumen
coral,desinfectante,tips,botella,500ml,1.08,floral,2.0,arriba,,volumen
coral,desinfectante,tips,botella,500ml,1.08,brisa marina,1.0,arriba,,volumen
coral,jabon,dr clean,botella,2lt,4.57,manzana verde,3.0,1,,volumen
coral,jabon,dr clean,botella,2lt,4.57,durazno,1.0,1,,volumen
coral,jabon,dr clean,botella,2lt,4.57,almendra,1.0,1,,volumen
coral,jabon,dr clean,doypack,1.9lt,3.8,kiwi melon,1.0,2,,volumen
coral,jabon,dr clean,doypack,1.9lt,3.8,coco vainilla,3.0,2,,volumen
coral,jabon,dr clean,doypack,1.9lt,3.66,almendra,4.0,ojos,,volumen
coral,jabon,dr clean,botella,400ml,2.36,durazno,4.0,3,,volumen
coral,jabon,dr clean,botella,400ml,2.36,almendra,4.0,3,,volumen
coral,jabon,dr clean,botella,400ml,2.36,manzana verde,5.0,3,,volumen
coral,jabon,dr clean,botella,400ml,2.36,durazno,4.0,arriba,,volumen
coral,jabon,dr clean,botella,400ml,2.36,almendra,4.0,arriba,,volumen
coral,jabon,dr clean,botella,400ml,2.36,manzana verde,5.0,arriba,,volumen
coral,jabon,dr clean,botella,400ml,2.36,almendra,2.0,ojos,,volumen
coral,jabon,dr clean,botella,400ml,2.36,durazno,2.0,ojos,,volumen
coral,jabon,dr clean,botella,400ml,2.36,manzana,2.0,ojos,,volumen
coral,jabon,dr clean,botella,400ml,2.36,almendra,2.0,2,,volumen
coral,jabon,dr clean,botella,400ml,2.36,durazno,2.0,2,,volumen
coral,jabon,dr clean,botella,400ml,2.36,manzana,2.0,2,,volumen
coral,jabon,dr clean,doypack,1.9lt,3.8,kiwi melon,1.0,1,,volumen
coral,jabon,dr clean,doypack,1.9lt,3.8,coco vainilla,1.0,ojos,,volumen
coral,jabon,dr clean,botella,265ml,4.39,sweet snow,2.0,arriba,,volumen
coral,jabon,sahara,doypack,2lt,3.35,almendra,1.0,1,,volumen
